full_name,bazi_score,wuge_score,total_score
王悦烁,61,81.2,142.2
王悦周,93,80.8,173.8
王悦恩,98,86.7,184.7
王悦叆,61.5,79.8,141.3
王悦醉,61.5,77.3,138.8
王悦忆,97,87.2,184.2
王悦登,64,83.7,147.7
王悦姑,61,80.8,141.8
王悦启,63,70.6,133.6
王悦咛,62,87.2,149.2
王悦样,61.5,77.3,138.8
王悦冯,79,83.7,162.7
王悦自,62,86.9,148.9
王悦锶,94,87.2,181.2
王悦豆,62,84.0,146.0
王悦滔,76.5,85.6,162.1
王悦萧,61,79.8,140.8
王悦要,96,86.7,182.7
王悦殷,98,86.7,184.7
王悦独,94,87.2,181.2
王悦源,76.5,85.6,162.1
王悦奥,99,81.2,180.2
王悦伯,77,84.0,161.0
王悦汀,77,86.9,163.9
王悦楓,23,93.0,116.0
王悦茸,64,83.7,147.7
王悦戴,61,79.8,140.8
王悦竟,63,70.6,133.6
王悦皎,63,70.6,133.6
王悦轶,64,83.7,147.7
王悦柏,61,86.7,147.7
王悦评,79,83.7,162.7
王悦惠,79,83.7,162.7
王悦纯,95,86.7,181.7
王悦李,62,84.0,146.0
王悦荆,76.5,85.6,162.1
王悦王,96.5,83.6,180.1
王悦蕤,61,79.8,140.8
王悦籽,61,86.7,147.7
王悦融,97,91.1,188.1
王悦紅,23,93.0,116.0
王悦带,63,70.6,133.6
王悦坪,96,80.8,176.8
王悦蘅,64,90.0,154.0
王悦叔,93,80.8,173.8
王悦旋,95,70.6,165.6
王悦麒,61,81.2,142.2
王悦俸,78,86.7,164.7
王悦姝,93,86.7,179.7
王悦纹,78,86.7,164.7
王悦镇,93,79.8,172.8
王悦荭,61.5,77.3,138.8
王悦珆,23,93.0,116.0
王悦玢,76,86.7,162.7
王悦榕,61.5,85.6,147.1
王悦咏,96,80.8,176.8
王悦斯,96,83.7,179.7
王悦璎,99,90.0,189.0
王悦湾,77,94.8,171.8
王悦辅,76.5,85.6,162.1
王悦叶,96.5,77.3,173.8
王悦允,96.5,83.6,180.1
王悦贝,77,84.0,161.0
王悦瓊,23,93.0,116.0
王悦岁,96,81.2,177.2
王悦卡,61.5,83.4,144.9
王悦议,63,91.3,154.3
王悦澄,77,91.1,168.1
王悦荷,64,81.2,145.2
王悦诒,99,83.7,182.7
王悦贇,23,93.0,116.0
王悦摩,76.5,77.3,153.8
王悦予,96.5,83.6,180.1
王悦缨,99,86.6,185.6
王悦雯,79,83.7,162.7
王悦祎,96.5,85.6,182.1
王悦兑,94,84.0,178.0
王悦馨,95,91.3,186.3
王悦映,61,86.7,147.7
王悦非,76,80.8,156.8
王悦妤,77,84.0,161.0
王悦沄,76,80.8,156.8
王悦媱,23,93.0,116.0
王悦霖,77,91.1,168.1
王悦同,62,86.9,148.9
王悦唯,98,70.6,168.6
王悦蓮,23,93.0,116.0
王悦琴,64,81.2,145.2
王悦迈,78,91.3,169.3
王悦林,61,80.8,141.8
王悦锐,93.5,77.3,170.8
王悦泠,76,86.7,162.7
王悦廷,62,84.0,146.0
王悦瑄,23,93.0,116.0
王悦飚,78,85.8,163.8
王悦薛,61,81.2,142.2
王悦董,61.5,77.3,138.8
王悦渔,76.5,77.3,153.8
王悦在,94,86.9,180.9
王悦加,61.5,83.4,144.9
王悦洛,78,86.7,164.7
王悦渝,79,81.2,160.2
王悦朗,63,70.6,133.6
王悦筑,61.5,77.3,138.8
王悦昕,61,80.8,141.8
王悦铠,93,79.8,172.8
王悦骁,96,90.0,186.0
王悦遥,62,87.2,149.2
王悦洪,78,86.7,164.7
王悦奉,76,80.8,156.8
王悦朋,76,80.8,156.8
王悦呓,99,90.0,189.0
王悦柄,61,86.7,147.7
王悦攀,61,81.2,142.2
王悦起,63,86.7,149.7
王悦怀,78,91.3,169.3
王悦超,96,83.7,179.7
王悦宝,63,91.3,154.3
王悦珑,63,85.8,148.8
王悦莽,61.5,85.6,147.1
王悦穎,23,93.0,116.0
王悦弥,77,87.2,164.2
王悦拉,61,86.7,147.7
王悦宾,76.5,85.6,162.1
王悦藏,63,91.3,154.3
王悦宴,98,86.7,184.7
王悦绯,76.5,85.6,162.1
王悦徽,94,87.2,181.2
王悦慕,76.5,77.3,153.8
王悦扬,64,81.2,145.2
王悦牧,76,80.8,156.8
王悦彤,62,84.0,146.0
王悦波,76,86.7,162.7
王悦秉,76,80.8,156.8
王悦余,97,84.0,181.0
王悦清,79,83.7,162.7
王悦凡,79,89.2,168.2
王悦喻,96,83.7,179.7
王悦珞,63,70.6,133.6
王悦柿,61,80.8,141.8
王悦萍,76.5,85.6,162.1
王悦倰,23,93.0,116.0
王悦方,76.5,83.6,160.1
王悦渺,79,81.2,160.2
王悦庆,61.5,77.3,138.8
王悦望,78,70.6,148.6
王悦敷,93.5,77.3,170.8
王悦和,76,80.8,156.8
王悦栋,64,83.7,147.7
王悦辰,97,84.0,181.0
王悦海,78,70.6,148.6
王悦莘,64,81.2,145.2
王悦奎,96,86.7,182.7
王悦若,63,70.6,133.6
王悦愫,93.5,85.6,179.1
王悦府,76,80.8,156.8
王悦埕,98,86.7,184.7
王悦娜,63,86.7,149.7
王悦锋,93.5,77.3,170.8
王悦雄,79,83.7,162.7
王悦曦,63,91.3,154.3
王悦锦,94,91.1,185.1
王悦格,63,86.7,149.7
王悦贻,99,83.7,182.7
王悦功,61.5,83.4,144.9
王悦楣,64,81.2,145.2
王悦潞,77,91.1,168.1
王悦桤,61.5,85.6,147.1
王悦闰,64,83.7,147.7
王悦珀,78,86.7,164.7
王悦尘,61.5,85.6,147.1
王悦怜,62,91.1,153.1
王悦磊,96.5,77.3,173.8
王悦貞,23,93.0,116.0
王悦勉,76,86.7,162.7
王悦冀,62,91.1,153.1
王悦亳,78,86.7,164.7
王悦沁,76,80.8,156.8
王悦桃,63,86.7,149.7
王悦艺,63,85.8,148.8
王悦蜀,96,81.2,177.2
王悦葛,61.5,77.3,138.8
王悦寧,23,93.0,116.0
王悦储,93,79.8,172.8
王悦五,61.5,83.6,145.1
王悦瀅,23,93.0,116.0
王悦荫,62,87.2,149.2
王悦丝,96,83.7,179.7
王悦昱,61,86.7,147.7
王悦耒,62,86.9,148.9
